"My Favorite Sellers","My Favorite Sellers"
"Subscription Customers","Subscription Customers"
"You added this seller to your favorite list.","You added this seller to your favorite list."
"You must have a seller account to access","You must have a seller account to access"
"You dont have permission to access this feature.","You dont have permission to access this feature."
Success,Success
"From Your Favorite Sellers","From Your Favorite Sellers"
"Base Seller Send Email To Subscriber template","Base Seller Send Email To Subscriber template"
"- Disable these emails -","- Disable these emails -"
Latest,Latest
"Top Rated","Top Rated"
Random,Random
"Featured - Filter by attribute featured","Featured - Filter by attribute featured"
"New Arrival","New Arrival"
"Deals - Use Special Price attribute","Deals - Use Special Price attribute"
"Object with id ""%1"" does not exist.","Object with id ""%1"" does not exist."
Delete,Delete
"Delete the subscription customer ID ""%1""","Delete the subscription customer ID ""%1"""
"Are you sure you wan't to delete this record?","Are you sure you wan't to delete this record?"
Seller,Seller
"Seller Logo","Seller Logo"
Action,Action
"Remove Selected Sellers","Remove Selected Sellers"
Remove,Remove
"Delete Favorite Sellers","Delete Favorite Sellers"
"You have no sellers in your favorite list.","You have no sellers in your favorite list."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"See More","See More"
Back,Back
"Send email to customers","Send email to customers"
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"Send message to customers","Send message to customers"
"Email Addresses","Email Addresses"
Subject,Subject
"Enter a Message","Enter a Message"
"Send Message","Send Message"
"You have no customers in your subscription list.","You have no customers in your subscription list."
"Favorite Sellers","Favorite Sellers"
General,General
"Module Enable","Module Enable"
"Show Wishlist Button","Show Wishlist Button"
"Show Compare Button","Show Compare Button"
"Show Add To Cart Button","Show Add To Cart Button"
"Suggest Products","Suggest Products"
"Suggest By","Suggest By"
"Email Settings","Email Settings"
"Enable Seller Send Email","Enable Seller Send Email"
"Email Sender","Email Sender"
"Email Template","Email Template"
Subscriptions,Subscriptions
"Manage Subscriptions","Manage Subscriptions"
"Lofmp FavoriteSeller: Suggestion Product From Favorite Seller","Lofmp FavoriteSeller: Suggestion Product From Favorite Seller"
Title,Title
"Number Products","Number Products"
Template,Template
"Products Grid Template","Products Grid Template"
"Send Email To Customers","Send Email To Customers"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
ID,ID
